ion,substrate,thickness_A,density_gcc,energy_keV,angle_deg,num_ions,execution_time_seconds on core i5,execution_time_seconds on core i9
Mg,Si,5000,2.329,1900,0,10000,,
Mg,Si,5000,2.329,1950,0,10000,,
Mg,Si,5000,2.329,2000,0,10000,,
Mg,Si,5000,2.329,2050,0,10000,,
Mg,Si,5000,2.329,3900,7,10000,,
Mg,Si,5000,2.329,3950,7,10000,,
Mg,Si,5000,2.329,4000,7,10000,,
Mg,Si,5000,2.329,4050,7,10000,,
Mg,Si,5000,2.329,4100,7,10000,,
Mg,Si,5000,2.329,4150,7,10000,,
Mg,Si,5000,2.329,3900,30,10000,,
Mg,Si,5000,2.329,3950,30,10000,,
Mg,Si,5000,2.329,4000,30,10000,,
Mg,Si,5000,2.329,4050,30,10000,,
Mg,Si,5000,2.329,4100,30,10000,,
Mg,Si,5000,2.329,4150,30,10000,,
Mg,Si,5000,2.329,3900,45,10000,,
Mg,Si,5000,2.329,3950,45,10000,,
Mg,Si,5000,2.329,4000,45,10000,,
Mg,Si,5000,2.329,4050,45,10000,,
Mg,Si,5000,2.329,4100,45,10000,,
Mg,Si,5000,2.329,4150,45,10000,,
P,Si,2000,2.329,3900,0,10000,,
P,Si,2000,2.329,3950,0,10000,,
P,Si,2000,2.329,4000,0,10000,,
P,Si,2000,2.329,4050,0,10000,,
P,Si,2000,2.329,4100,0,10000,,
P,Si,2000,2.329,4150,0,10000,,
P,Si,2000,2.329,1800,7,10000,,
P,Si,2000,2.329,1850,7,10000,,
P,Si,2000,2.329,1900,7,10000,,
P,Si,2000,2.329,1950,7,10000,,
P,Si,2000,2.329,2000,7,10000,,
P,Si,2000,2.329,2050,7,10000,,
P,Si,2000,2.329,3900,30,10000,,
P,Si,2000,2.329,3950,30,10000,,
P,Si,2000,2.329,4000,30,10000,,
P,Si,2000,2.329,4050,30,10000,,
P,Si,2000,2.329,4100,30,10000,,
P,Si,2000,2.329,4150,30,10000,,
P,Si,2000,2.329,3900,45,10000,,
P,Si,2000,2.329,3950,45,10000,,
P,Si,2000,2.329,4000,45,10000,,
P,Si,2000,2.329,4050,45,10000,,
P,Si,2000,2.329,4100,45,10000,,
P,Si,2000,2.329,4150,45,10000,,
P,Si,5000,2.329,3900,0,10000,,
P,Si,5000,2.329,3950,0,10000,,
P,Si,5000,2.329,4000,0,10000,,
P,Si,5000,2.329,4050,0,10000,,
P,Si,5000,2.329,4100,0,10000,,
P,Si,5000,2.329,4150,0,10000,,
P,Si,5000,2.329,3900,7,10000,,
P,Si,5000,2.329,3950,7,10000,,
P,Si,5000,2.329,4000,7,10000,,
P,Si,5000,2.329,4050,7,10000,,
P,Si,5000,2.329,4100,7,10000,,
P,Si,5000,2.329,4150,7,10000,,
P,Si,5000,2.329,3900,30,10000,,
P,Si,5000,2.329,3950,30,10000,,
P,Si,5000,2.329,4000,30,10000,,
P,Si,5000,2.329,4050,30,10000,,
P,Si,5000,2.329,4100,30,10000,,
P,Si,5000,2.329,4150,30,10000,,
P,Si,5000,2.329,6300,45,10000,,
P,Si,5000,2.329,6350,45,10000,,
P,Si,5000,2.329,6400,45,10000,,
P,Si,5000,2.329,6450,45,10000,,
P,Si,5000,2.329,6500,45,10000,,
P,Si,5000,2.329,6550,45,10000,,
